iter	Logloss
0	0.6103594353
1	0.5548717231
2	0.5094065136
3	0.4703976323
4	0.4421172293
5	0.4287626397
6	0.4117179997
7	0.3897404907
8	0.3799507246
9	0.3695306856
10	0.3632427908
11	0.3547616608
12	0.3448962908
13	0.3384805037
14	0.3340165684
15	0.3274340507
16	0.322332687
17	0.3175565204
18	0.3156289836
19	0.3118571782
20	0.3088885634
21	0.3045566468
22	0.3020384758
23	0.2979355736
24	0.2955760527
25	0.2950570355
26	0.2899115086
27	0.2884181602
28	0.2834603281
29	0.2799743254
30	0.2787092572
31	0.2775894863
32	0.2762322239
33	0.2745949058
34	0.2735467962
35	0.2720452241
36	0.2714713346
37	0.2687232557
38	0.2674830315
39	0.2668733817
40	0.2665365322
41	0.2660261968
42	0.2657659518
43	0.2644391291
44	0.2643346076
45	0.2632386572
46	0.2619237362
47	0.2611029383
48	0.260735571
49	0.2598150661
50	0.2586398304
51	0.2579342591
52	0.2566296908
53	0.2558288471
54	0.2554730762
55	0.2547305684
56	0.2541283381
57	0.2533093878
58	0.2529120339
59	0.2509648119
60	0.2496733178
61	0.2485666777
62	0.2483544328
63	0.2476008794
64	0.2471610254
65	0.2469643287
66	0.2468994519
67	0.246026646
68	0.2458452234
69	0.2455470219
70	0.2450188984
71	0.2450003223
72	0.2444058294
73	0.2442241255
74	0.2424559674
75	0.2416533137
76	0.2413042093
77	0.2407283154
78	0.240701705
79	0.2401849926
80	0.2399600929
81	0.2392063567
82	0.2385326844
83	0.2383401363
84	0.2379581739
85	0.2378011856
86	0.2376672106
87	0.2376503847
88	0.235784137
89	0.2355370314
90	0.2352656764
91	0.235078354
92	0.2348330801
93	0.2346014429
94	0.2340290825
95	0.2330468257
96	0.2326438461
97	0.232570453
98	0.2320730024
99	0.2320339653
100	0.2313925977
101	0.231327507
102	0.2312648062
103	0.2297361289
104	0.229680496
105	0.2277980462
106	0.2273065574
107	0.2267694787
108	0.2266266389
109	0.2265468005
110	0.2253872083
111	0.2244500555
112	0.223670966
113	0.2225329661
114	0.2221020139
115	0.2217386398
116	0.2217135208
117	0.2211258711
118	0.2201919419
119	0.2196364717
120	0.2190741335
121	0.2180303516
122	0.2179933812
123	0.2172145745
124	0.2170352782
125	0.2167603231
126	0.2167102967
127	0.216442067
128	0.2158963585
129	0.2157304398
130	0.215221785
131	0.215035685
132	0.2145737498
133	0.2143222447
134	0.2139742257
135	0.2139445372
136	0.2138673553
137	0.2132383876
138	0.2123329068
139	0.2123169143
140	0.2123033718
141	0.2115275689
142	0.2113893407
143	0.2110337514
144	0.2104532089
145	0.2087269779
146	0.2085265033
147	0.207956732
148	0.2079006796
149	0.2075371014
150	0.2075061546
151	0.2067895397
152	0.2067575173
153	0.206472338
154	0.2063723315
155	0.2063299914
156	0.2062964271
